,bath,bed,furnished,price,size,street,where
18463,2.0,2.0,0,5300,,166 West 76th Street #5DE,Upper West Side
18464,,2.0,1,9500,1350,502 Park Avenue #5J,Lenox Hill
18465,1.0,3.0,0,5354,,76 N 4th Street #507,Williamsburg
18466,2.0,3.0,0,3200,,3111 Ocean Parkway #B2,Brighton Beach
18467,2.0,2.0,0,5900,1181,225 West 60th Street #16C,Lincoln Square
18468,2.5,1.0,0,5800,1795,88 South 1st Street #1A,Williamsburg
18469,1.0,1.0,0,3695,,120 East 34th Street #18K,Midtown South
18470,2.0,1.0,0,3400,,17 East 13th Street #3C/4C,Greenwich Village
18471,2.0,2.0,0,4995,1121,120 North 7th Street #2E,Williamsburg
18472,2.0,4.0,0,3250,,1854 Willoughby Avenue TOWNHOUSE,Ridgewood
18473,1.5,1.0,0,5895,,20 W 64th Street #18B,Lincoln Square
18474,,1.0,1,3500,791,99 John Street #814,Fulton/Seaport
18475,1.0,,0,2495,,405 East 87th Street #1D,Yorkville
18476,2.0,4.0,0,3300,1400,713 Lexington Avenue #3,Stuyvesant Heights
18477,1.0,4.0,0,3500,,1167 Fulton Street #3,Bedford-Stuyvesant
18478,1.0,2.0,0,2300,1100,2770 Ocean Avenue #R2,Homecrest
18479,2.0,3.0,0,10040,,255 W. 94th Street #3357,Upper West Side
18480,1.0,1.0,0,4800,765,322 West 57th Street #17C,Midtown West
18481,2.0,3.0,0,4250,,80 Meserole Street #1B,Williamsburg
18482,1.0,1.0,0,4095,800,59 Fifth Avenue #3A,Greenwich Village
18483,2.0,2.0,0,4635,,4615 Center Boulevard #1808,Hunters Point
18484,1.5,1.0,0,4500,,250 East 54th Street #33C,Midtown East
18485,1.0,1.0,0,2250,,626 Madison Street #2,Stuyvesant Heights
18486,1.0,1.0,0,5300,835,101 Leonard Street #7A,Tribeca
18487,,1.0,1,3500,702,415 East 37th Street #31H,Murray Hill
18488,1.0,1.0,0,3100,,1 North Henry #1,Greenpoint
18489,1.0,1.0,0,4500,,118 Avenue C #3R,East Village
18490,1.0,2.0,0,5500,,421 East 12th Street #1,East Village
18491,1.0,1.0,0,2400,,242 East 10th Street #10,East Village
18492,1.0,2.0,0,3828,904,81 Fleet Place #10P,Downtown Brooklyn
18493,1.5,3.0,0,3600,,606 Onderdonk #1L,Ridgewood
18494,3.0,2.0,0,8950,,75 Wall Street #35C,Financial District
18495,1.0,,0,2710,473,125 Court Street #5NP,Downtown Brooklyn
18496,1.0,3.0,0,2900,,23-71 23rd Street #2,Astoria
18497,2.0,3.0,0,3199,1200,73 Malcolm X Boulevard #2,Bedford-Stuyvesant
18498,,2.0,1,11500,1900,181 Hudson Street #3D,Tribeca
18499,1.0,3.0,0,2500,1300,923 82nd Street #2,Dyker Heights
18500,1.0,,0,2410,,11 Waverly Place #10E,Greenwich Village
18501,2.0,2.0,0,4695,,330 East 39th Street #33L,Murray Hill
18502,1.0,1.0,0,2800,550,306 W. 78th Street #5B,Upper West Side
18503,1.0,1.0,0,1575,,7901 4th Avenue #D20A,Bay Ridge
18504,2.0,1.5,0,5400,1200,4 Water Street #3,DUMBO
18505,1.0,,0,3350,,33 Greenwich Avenue #15D,West Village
18506,1.0,1.0,0,3000,,2194 Frederick Douglass Boulevard #4S,Central Harlem
18507,1.0,1.0,0,3865,804,160 Riverside Boulevard #10R,Lincoln Square
18508,1.0,1.0,0,3942,783,81 Fleet Place #14G,Downtown Brooklyn
18509,1.0,1.0,0,4309,808,81 Fleet Place #16E,Downtown Brooklyn
18510,1.0,2.0,0,1895,,411 Rogers Avenue #3R,Prospect Lefferts Gardens
18511,2.0,2.0,0,6200,,101 Bedford Avenue #A808,Williamsburg
18512,1.0,1.0,0,3500,630,347 West 57th Street #15B,Midtown West
18513,1.0,,1,3500,525,340 West 57th Street #12H,Midtown West
18514,2.0,2.0,0,2100,,1353 Greene Avenue #2L,Bushwick
18515,1.0,1.0,0,6995,1200,350 West 57th Street #16B,Midtown West
18516,1.0,2.0,0,2900,,225 Columbus Avenue #2E,Lincoln Square
18517,2.5,,1,3750,,170 East 87th Street #E15E,Carnegie Hill
18518,1.0,1.0,0,1600,,1883 Amsterdam Avenue #1C,Hamilton Heights
18519,1.0,2.0,0,1950,,312 East 106th Street #21,East Harlem
18520,1.0,1.0,0,3200,,220 West 107th Street #6D,Manhattan Valley
18521,,1.0,0,3175,650,103 Perry Street #A3,West Village
18522,1.0,1.0,0,2295,600,668 Riverside Drive #3G,Hamilton Heights
18523,1.0,1.0,0,2475,,12 Bedford Avenue #2F,Greenpoint
18524,2.5,2.0,0,22000,1762,151 East 58th Street #41B,Midtown East
18525,2.0,2.0,0,3300,888,161 East 110th Street #4F,East Harlem
18526,1.0,1.0,0,2475,,12 Bedford Avenue #2F,Greenpoint
18527,1.0,1.0,0,2150,,63-34 Fresh Pond Rd #4R,Ridgewood
18528,1.0,,0,4250,,987 Pacific Street #2NDFL,Crown Heights
18529,1.0,2.0,0,3500,,20 West 95th Street #2,Upper West Side
18530,3.5,3.0,0,10550,1844,50 Riverside Boulevard #11A,Lincoln Square
18531,2.0,2.0,0,6710,1447,160 Riverside Boulevard #3S,Lincoln Square
18532,1.0,1.0,0,4370,,200 W 26th Street #3D,Chelsea
18533,1.0,2.0,0,2950,,41-15 46th Street #5B,Sunnyside
18534,1.5,3.0,0,2400,1724,62 Buffington Avenue #1,Annadale
18535,1.0,2.0,0,2400,,682 Bushwick Avenue #2B,Bushwick
18536,1.0,2.0,0,2600,,2309 Astoria Boulevard #3F,Astoria
18537,1.0,1.0,0,1695,700,141 West 139th Street #D47,Central Harlem
18538,1.0,1.0,0,4400,,229 Chrystie Street #418,Lower East Side
18539,1.5,2.5,0,11400,,346 East 51st Street #1,Turtle Bay
18540,1.0,3.0,0,2495,1200,200 Bradhurst Avenue #17,Central Harlem
18541,1.0,1.0,0,2450,,149 W 80th Street #4A,Upper West Side
18542,1.0,3.0,0,2350,,124 E 107th Street #10,East Harlem
18543,1.0,1.0,0,5295,,1 Union Square South #5176,East Village
18544,1.0,1.0,0,6235,,1 Union Square South #5158,East Village
18545,1.0,1.0,0,3370,649,101 West End Avenue #19K,Lincoln Square
18546,1.0,1.0,0,1900,,8603 Shore Road #46,Fort Hamilton
18547,1.0,1.0,0,5000,,420 West 23rd Street #2B,West Chelsea
18548,2.5,2.0,0,13500,1830,400 Park Avenue South #25B,NoMad
18549,1.0,,0,2750,,250 West 89th Street #2G,Upper West Side
18550,2.0,2.0,0,6400,1295,420 East 61st Street #14E,Lenox Hill
18551,1.0,3.0,0,5908,,76 N 4th Street #524,Williamsburg
18552,1.0,,0,1999,,240 W 16 #C2,Chelsea
18553,2.0,2.0,0,4115,860,236 Livingston Street #18F,Downtown Brooklyn
18554,1.0,1.0,0,1875,,75-25 153rd Street #407,Kew Gardens Hills
18555,2.0,2.0,0,2375,,75-25 153rd Street #501,Kew Gardens Hills
18556,1.0,1.0,0,1875,,75-25 153rd Street #PH5,Kew Gardens Hills
18557,1.5,4.0,0,4200,1100,42 Starr Street #1R,Bushwick
18558,1.0,,0,2000,,320 East 42nd Street #1608,Murray Hill
18559,1.0,2.0,0,1850,,163 Veronica Place #3F,Flatbush
18560,1.0,1.0,0,2550,,150 East 56th Street #7F,Midtown East
18561,1.0,,0,7500,703,847 Second Avenue #STORE,Turtle Bay
18562,1.0,1.0,0,4405,,400 Chambers Street #2746,Battery Park City
18563,1.0,1.0,0,5960,876,88 Leonard Street #818,Tribeca
18564,,,0,1900,,68 Montague Street #1G,Brooklyn Heights
18565,1.0,,1,2500,,440 West 41st Street #3H,Midtown West
18566,1.0,,0,2950,460,1 Irving Place #G14I,Gramercy Park
18567,1.0,1.0,0,2500,,164 Engert Avenue #2,Greenpoint
18568,1.0,2.0,0,1950,,230 West 147th Street #5K,Central Harlem
18569,,2.0,1,12000,2000,146 Greene Street #3,Soho
18570,1.0,1.0,0,1750,,311 East 105th #3A,East Harlem
18571,2.0,2.0,0,2350,,787 Hart Street #1R,Bushwick
18572,2.0,2.0,0,5490,,561 Tenth Avenue #38J,Midtown West
18573,1.5,1.0,0,6000,810,124 East 79th Street #7B,Upper East Side
18574,1.0,,0,2800,,210 East 47th Street #3A,Turtle Bay
18575,,1.0,1,7000,714,1 Irving Place #G19D,Gramercy Park
18576,1.0,,0,1295,,363 Edgecombe Avenue #B2,Hamilton Heights
18577,1.0,1.0,0,3300,750,130 Water Street #7A,Financial District
18578,1.0,2.0,0,3461,,1274 Fifth Avenue #308,Upper Carnegie Hill
18579,1.0,,0,3450,,41 Park Avenue #4D,Murray Hill
18580,1.0,2.0,0,3461,,1274 Fifth Avenue #308,Upper Carnegie Hill
18581,1.0,1.0,0,4250,900,200 Water Street #2510,Fulton/Seaport
18582,1.0,,0,3450,,41 Park Avenue #4D,Murray Hill
18583,1.0,,1,4995,,281 West 11th Street #5A,West Village
18584,,2.0,1,6000,950,150 West 51st Street #1527,Midtown West
18585,2.5,2.0,0,4200,1350,643 Washington Avenue #2,Crown Heights
18586,1.0,1.0,0,2800,,21-03 46th Avenue #2B,Hunters Point
18587,1.0,3.0,0,2400,,637 Hawthorne #3,Wingate
18588,1.0,,1,5900,,150 West 51st Street #1007,Midtown West
18589,1.0,,1,2995,,440 West 46 #3A,Midtown West
18590,1.0,,1,3195,,410 West 46th Street #2B,Midtown West
18591,1.0,,1,3395,,885 Ninth Avenue #6R,Midtown West
18592,2.0,3.0,0,2700,,2247 Harman Street #3,Ridgewood
18593,1.0,2.0,0,2600,,309 E 95th Street #9,Yorkville
18594,1.0,2.0,0,6600,1258,400 West 63rd Street #1007,Lincoln Square
18595,1.0,2.0,0,2850,,57 Clifton Place #8,Clinton Hill
18596,1.0,,0,2000,,301 Cumberland Street #F5,Fort Greene
18597,1.0,1.0,0,2900,,317 West 76th Street #2R,Upper West Side
18598,1.0,2.0,0,2200,,1901 West 8th Street #1,Gravesend
18599,1.5,2.0,0,2875,1200,1521 Brightwater Avenue #1B,Brighton Beach
18600,,1.0,1,4900,1054,55 Wall Street #820,Financial District
18601,1.0,1.0,0,2450,,535 Classon Avenue #304,Bedford-Stuyvesant
18602,1.0,,0,3010,,520 Second Avenue #5D,Kips Bay
18603,1.0,2.0,0,2825,,370 Bedford Avenue #14,Williamsburg
18604,1.0,,0,1450,,4475 Henry Hudson Parkway #2D,Riverdale
18605,1.0,1.0,0,2800,,171 East 89th Street #13E,Carnegie Hill
18606,1.0,1.0,0,3800,937,1 Hanson Place #10C,Fort Greene
18607,1.0,1.0,0,1300,600,8614 3rd Avenue #1,Fort Hamilton
