,bath,bed,furnished,monthly,price,size,street,where
6354,1.0,,0,0,688000,564,99 John Street #517,Fulton/Seaport
6355,2.5,2.0,0,0,2249000,1265,261 W 28th Street #6B,Chelsea
6356,3.0,4.0,0,0,3925000,2387,465 Pacific Street #PHA,Boerum Hill
6357,2.0,2.0,0,0,5750000,,465 Park Avenue #404,Midtown
6358,4.5,4.0,0,0,13250000,3664,200 East 69th Street #PHA,Lenox Hill
6359,4.5,4.0,0,0,5850000,3000,444 East 57th Street #12F,Sutton Place
6360,2.0,2.0,0,0,425000,,3935 Blackstone Avenue #1C,Riverdale
6361,2.5,4.0,0,0,509999,,205-16 116th Rd ,St. Albans
6362,2.5,2.0,0,0,4950000,1428,21 East 61st Street #10D,Lenox Hill
6363,2.0,2.0,0,0,2849990,1229,55 West 17th Street #903,Flatiron
6364,5.5,4.0,0,0,20500000,4613,520 Park Avenue #19,Lenox Hill
6365,1.0,1.0,0,0,425000,,218 East 82nd Street #5FE,Yorkville
6366,1.0,,0,0,299000,,342 West 56th Street #6E,Midtown West
6367,4.0,5.0,0,0,1299999,3600,1975 West 6th Street #TWNH,Gravesend
6368,2.0,2.0,0,0,1495000,,120 East 75th Street #3A,Upper East Side
6369,,1.0,1,0,1600000,900,117 East 57th Street #39H,Midtown
6370,1.5,1.0,0,0,485000,700,425 East 78th Street #3B,Upper East Side
6371,1.0,1.0,0,0,1485000,794,1 Irving Place #P10B,Gramercy Park
6372,2.5,2.0,0,0,2195000,1943,462 West 58th Street #1E,Midtown West
6373,5.0,5.0,0,0,40000000,8890,17 East 65th Street ,Lenox Hill
6374,1.0,2.0,0,0,488000,,70-31 108th Street #12H,Forest Hills
6375,6.0,6.0,0,0,49500000,9742,19 East 61st Street ,Lenox Hill
6376,1.0,1.0,0,0,184000,750,3015 Riverdale Avenue #3L,Spuyten Duyvil
6377,1.5,1.0,0,0,1050000,1200,200 President Street #1,Carroll Gardens
6378,1.5,3.0,0,0,390000,,205-15 115 Dr ,St. Albans
6379,1.0,,0,0,489000,,7 East 35th Street #1F,Midtown South
6380,1.0,1.0,0,0,948000,,130 West 79th Street #8B,Upper West Side
6381,1.0,2.0,0,0,549000,960,50 Park Terrace East #2F,Inwood
6382,3.0,4.0,0,0,1199000,,157-64 9th Avenue ,Beechhurst
6383,1.0,,0,0,199000,600,7401 Shore Road #1M,Bay Ridge
6384,1.0,1.0,0,0,1200000,635,310 West 52nd Street #16D,Midtown West
6385,4.0,4.0,0,0,3475000,,320 East 72nd Street #9A,Lenox Hill
6386,1.0,1.0,0,0,385000,750,9707 4th Avenue #L7,Fort Hamilton
6387,1.0,1.0,0,0,425000,800,9707 4th Avenue #U6,Fort Hamilton
6388,1.0,1.0,0,0,1250000,930,77 Seventh Avenue #10N,Chelsea
6389,2.5,2.0,0,0,3200000,1625,540 West 49th Street #PH1N,Midtown West
6390,3.0,5.0,0,0,1399000,,682A 6th Avenue ,Greenwood
6391,2.0,2.0,0,0,1695000,,42 West 13th Street #4BC,Greenwich Village
6392,3.0,3.0,0,0,5980000,2300,140 E 63rd Street #9C,Lenox Hill
6393,2.5,4.0,0,0,1100000,2549,126 Barlow Drive South ,Mill Basin
6394,2.5,4.0,0,0,1349000,,158-16 Riverside Dr ,Beechhurst
6395,1.0,,0,0,375000,,205 East 77th Street #10H,Upper East Side
6396,,,0,0,8995000,5675,161 West 73rd Street ,Upper West Side
6397,1.0,1.0,0,0,1850000,1134,200 East 66th Street #D706,Lenox Hill
6398,1.0,2.0,0,0,799000,,356 West 23rd Street #4A,Chelsea
6399,2.5,3.0,0,0,4750000,2810,105 Hudson Street #6N,Tribeca
6400,1.0,1.0,0,0,1850000,1134,200 East 66th Street #D706,Lenox Hill
6401,1.5,1.0,0,0,2179631,1735,1 Main Street #7E,DUMBO
6402,1.0,1.0,0,0,249900,800,68-20 Burns Street #C3,Forest Hills
6403,3.0,5.0,0,0,1299000,1800,548 56th Street ,Sunset Park
6404,1.0,,0,0,558000,,404 East 66th Street #6M,Lenox Hill
6405,1.0,1.0,0,0,799000,,118 East 60th Street #34B,Lenox Hill
6406,1.0,1.0,0,0,159000,600,2711 Avenue X #2K,Homecrest
6407,2.5,3.0,0,0,1199000,1955,4455 Douglas Avenue #10B,Riverdale
6408,1.0,1.0,0,0,689000,,1270 Fifth Avenue #5F,Upper Carnegie Hill
6409,1.0,1.0,0,0,400000,,100 Remsen Street #3B,Brooklyn Heights
6410,3.0,3.0,0,0,3295000,2039,505 Greenwich Street #6H,Soho
6411,2.0,2.0,0,0,8328125,2169,45 East 22nd Street #48B,Flatiron
6412,6.0,5.0,0,0,2595000,3750,109 W 132nd Street #1,Central Harlem
6413,2.5,2.0,0,0,1150000,,123 West 93rd Street #1F,Upper West Side
6414,2.0,2.0,0,0,1490000,1003,400 East 54th Street #29F,Sutton Place
6415,1.0,1.0,0,0,775000,653,117 Kingsland Avenue #3C,Greenpoint
6416,1.0,1.0,0,0,205000,,65-45 Yellowstone Boulevard #5C,Forest Hills
6417,3.0,4.0,0,0,939000,,2682 East 64th Street ,Mill Basin
6418,1.0,2.0,0,0,275000,,86-10 109th Street #EE2,Woodhaven
6419,1.0,1.0,0,0,1699000,750,502 Park Avenue #9A,Lenox Hill
6420,3.5,5.0,0,0,995000,,25 Pilling Street ,Bushwick
6421,6.0,4.0,0,0,14000000,4771,165 Charles Street #FL2,West Village
6422,2.0,2.0,0,0,2250000,1250,90 Hudson Street #4A,Tribeca
6423,3.0,1.0,0,0,50000000,6319,9 Jay Street SKYBRIDGE,Tribeca
6424,4.5,3.0,0,0,32500000,4483,157 West 57th Street #65A,Midtown
6425,,5.0,1,0,3495000,4060,55 Exeter Street ,Forest Hills
6426,3.5,5.0,0,0,2200000,3740,157 East 121st Street ,East Harlem
6427,3.5,3.0,0,0,8975000,2924,520 West 28th Street #16,West Chelsea
6428,2.5,2.0,0,0,1800000,1650,303 East 57th Street #31B,Sutton Place
6429,1.0,1.0,0,0,185000,750,123-40 83rd Avenue #4G,Kew Gardens
6430,3.0,5.0,0,0,1500000,1957,2730 Edgehill Avenue ,Spuyten Duyvil
6431,4.0,7.0,0,0,675000,,166 East 95th Street ,Brownsville
6432,1.0,1.0,0,0,899000,,2 West 67th Street #3G,Lincoln Square
6433,4.0,4.0,0,0,4250000,,1 East End Avenue #5C,Yorkville
6434,1.0,1.0,0,0,137900,820,2212 Brigham Street #4H,Homecrest
6435,2.0,2.0,0,0,2400000,1051,163-165 West 18th Street #10B,Chelsea
6436,2.0,2.0,0,0,185000,988,941 Jerome Avenue #7E,Highbridge
6437,1.0,,0,0,1100000,450,1 Central Park West #712,Lincoln Square
6438,4.0,5.0,0,0,3595000,3369,54 Saint Felix Street ,Fort Greene
6439,2.0,1.0,0,0,1500000,1001,540 West 49th Street #104N,Midtown West
6440,1.5,1.0,0,0,1180000,653,75 Wall Street #31G,
6441,,2.0,1,0,2950000,1776,25 Murray Street #4B,Tribeca
6442,4.5,4.0,0,0,4750000,2664,300 East 79th Street #11C,Upper East Side
6443,1.5,1.0,0,0,1750000,950,40 East 61st Street #12A,Lenox Hill
6444,2.0,4.0,0,0,420000,,9013 Avenue L ,Canarsie
6445,2.0,3.0,0,0,399000,2032,969 East 230th Street ,Wakefield
6446,1.0,1.0,0,0,720000,900,430 East 56th Street #2F,Sutton Place
6447,1.0,1.0,0,0,595000,549,1810 Third Avenue #A12C,East Harlem
6448,5.0,5.0,0,0,35000000,6050,20 East End Avenue #PHA,Yorkville
6449,1.0,2.0,0,0,825000,1083,779 Riverside Drive #A31,Washington Heights
6450,2.0,2.0,0,0,1795000,,120 E 79th Street #PH,Upper East Side
6451,1.0,2.0,0,0,899000,1000,477 Fdr Drive #M807,Lower East Side
6452,3.0,7.0,0,0,1300000,,2121 Voorhies Avenue ,Sheepshead Bay
6453,3.0,4.0,0,0,1849000,2500,21-38 71st Street ,Astoria
6454,2.5,1.0,0,0,4600000,2741,1 Bond Street #PHB,Noho
6455,2.5,2.0,0,0,2825000,1625,5 Beekman Street #21A,Fulton/Seaport
6456,2.0,2.0,0,0,4900000,,160 Central Park South #2101,Central Park South
6457,1.0,1.0,0,0,1600000,,930 Fifth Avenue #7G,Upper East Side
